ontology,GO_ID,GO_term_name,term_size
BP,GO:0009740,gibberellic acid mediated signaling pathway,16
BP,GO:0010017,red or far-red light signaling pathway,16
BP,GO:0010078,maintenance of root meristem identity,16
BP,GO:0010114,response to red light,16
BP,GO:0016104,triterpenoid biosynthetic process,16
BP,GO:0016117,carotenoid biosynthetic process,16
BP,GO:0016132,brassinosteroid biosynthetic process,16
BP,GO:0019388,galactose catabolic process,16
BP,GO:0030639,polyketide biosynthetic process,16
BP,GO:0043039,tRNA aminoacylation,16
BP,GO:0045010,actin nucleation,16
BP,GO:0045324,late endosome to vacuole transport,16
BP,GO:0048024,"regulation of mRNA splicing, via spliceosome",16
BP,GO:0072334,UDP-galactose transmembrane transport,16
BP,GO:0090110,COPII-coated vesicle cargo loading,16
BP,GO:1901135,carbohydrate derivative metabolic process,16
BP,GO:2000031,regulation of salicylic acid mediated signaling pathway,16
BP,GO:0000350,generation of catalytic spliceosome for second transesterification step,15
BP,GO:0005978,glycogen biosynthetic process,15
BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",15
BP,GO:0006241,CTP biosynthetic process,15
BP,GO:0006535,cysteine biosynthetic process from serine,15
BP,GO:0006796,phosphate-containing compound metabolic process,15
BP,GO:0006821,chloride transport,15
BP,GO:0006996,organelle organization,15
BP,GO:0007033,vacuole organization,15
BP,GO:0009631,cold acclimation,15
BP,GO:0009636,response to toxic substance,15
BP,GO:0009690,cytokinin metabolic process,15
BP,GO:0009694,jasmonic acid metabolic process,15
BP,GO:0009749,response to glucose,15
BP,GO:0016121,carotene catabolic process,15
BP,GO:0019853,L-ascorbic acid biosynthetic process,15
BP,GO:0019941,modification-dependent protein catabolic process,15
BP,GO:0030048,actin filament-based movement,15
BP,GO:0030422,siRNA processing,15
BP,GO:0031468,nuclear membrane reassembly,15
BP,GO:0035725,sodium ion transmembrane transport,15
BP,GO:0036211,protein modification process,15
BP,GO:0042128,nitrate assimilation,15
BP,GO:0042276,error-prone translesion synthesis,15
BP,GO:0044281,small molecule metabolic process,15
BP,GO:0106074,aminoacyl-tRNA metabolism involved in translational fidelity,15
BP,GO:1901001,negative regulation of response to salt stress,15
BP,GO:0000422,autophagy of mitochondrion,14
BP,GO:0000425,pexophagy,14
BP,GO:0006360,transcription by RNA polymerase I,14
