"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWY-3982","uracil degradation I (reductive)",3,"SORBI_3002G304000;SORBI_3003G329400;SORBI_3004G246200","5.6521e-01;6.8001e-01;9.2140e-02",0.57761
"PWY-7029","terminal olefins biosynthesis II",2,"SORBI_3002G291350;SORBI_3003G365100","7.0068e-01;8.9506e-01",0.57833
"CITRULLINE-DEG-PWY","L-citrulline degradation",4,"SORBI_3003G193700;SORBI_3004G265900;SORBI_3004G268100;SORBI_3007G104300","4.3081e-02;5.4553e-01;7.6394e-02;7.9050e-01",0.57882
"PWY-5147","oleate biosynthesis I (plants)",42,"SORBI_3001G265300;SORBI_3001G280700;SORBI_3001G334501;SORBI_3002G111500;SORBI_3002G256800;SORBI_3002G256900;SORBI_3002G258500;SORBI_3003G004900;SORBI_3003G242000;SORBI_3003G258200;SORBI_3003G303900;SORBI_3003G337500;SORBI_3003G377100;SORBI_3003G404000;SORBI_3004G088100;SORBI_3004G153300;SORBI_3004G157550;SORBI_3004G293800;SORBI_3004G293900;SORBI_3004G294000;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G054900;SORBI_3005G156100;SORBI_3006G048700;SORBI_3006G079500;SORBI_3006G171900;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G259300;SORBI_3006G272600;SORBI_3007G071600;SORBI_3008G010800;SORBI_3008G029200;SORBI_3008G051300;SORBI_3009G031400;SORBI_3010G033300;SORBI_3010G045400;SORBI_3010G045500;SORBI_3010G180400;SORBI_3010G214900;SORBI_3010G235300","5.7524e-01;1.3146e-02;7.2603e-01;1.6892e-03;9.3056e-02;2.3658e-01;7.1802e-01;3.8984e-01;3.4265e-02;8.5146e-01;5.5405e-01;5.3240e-01;2.6380e-01;3.8334e-01;7.4264e-02;4.7739e-01;7.0286e-01;9.3594e-03;1.3435e-02;2.0262e-02;8.5740e-02;3.8643e-01;2.0825e-01;5.0089e-01;4.5351e-01;6.7757e-02;4.1606e-01;2.5289e-01;5.8442e-01;6.0221e-01;6.8862e-01;2.8346e-01;2.9948e-01;3.7122e-01;8.5213e-02;8.2706e-03;3.2233e-01;3.3460e-01;7.5815e-01;3.3073e-02;5.0362e-01;7.4791e-01",0.58266
"PWY-7176","UTP and CTP <i>de novo</i> biosynthesis",12,"SORBI_3003G017300;SORBI_3003G221200;SORBI_3003G241000;SORBI_3003G439600;SORBI_3004G318100;SORBI_3006G003300;SORBI_3006G065800;SORBI_3007G223100;SORBI_3008G127100;SORBI_3009G239301;SORBI_3009G239500;SORBI_3010G007500","5.6400e-01;4.1697e-01;1.1137e-02;2.4298e-01;5.7073e-01;4.7169e-01;5.4097e-03;1.1046e-01;5.1521e-01;1.9580e-08;3.1260e-09;7.8418e-01",0.58296
"PWY-6164","3-dehydroquinate biosynthesis I",5,"SORBI_3001G294500;SORBI_3001G351000;SORBI_3002G279700;SORBI_3002G379600;SORBI_3007G225700","1.9343e-01;5.7850e-01;7.7896e-01;1.4027e-02;5.4496e-01",0.58421
"PWY-5046","2-oxoisovalerate decarboxylation to isobutanoyl-CoA",9,"SORBI_3002G046800;SORBI_3002G392800;SORBI_3003G148800;SORBI_3003G152900;SORBI_3003G155300;SORBI_3005G044600;SORBI_3008G062200;SORBI_3009G052200;SORBI_3009G054600","8.0183e-01;7.4089e-01;1.5933e-04;3.7312e-01;5.1937e-01;4.2707e-01;5.7850e-01;8.2254e-01;9.7106e-01",0.58526
"COA-PWY","coenzyme A biosynthesis I (prokaryotic)",11,"SORBI_3002G052900;SORBI_3003G030200;SORBI_3003G161600;SORBI_3004G032200;SORBI_3004G189600;SORBI_3006G039500;SORBI_3007G060700;SORBI_3007G140300;SORBI_3010G074432;SORBI_3010G074500;SORBI_3010G074700","6.8821e-01;1.1183e-01;2.4794e-01;4.0455e-01;1.0090e-01;6.2031e-01;1.8958e-01;1.5491e-01;6.2256e-01;6.6658e-01;5.6507e-01",0.58999
"PWY-7205","CMP phosphorylation",10,"SORBI_3001G295200;SORBI_3002G306900;SORBI_3004G184500;SORBI_3004G318100;SORBI_3006G003300;SORBI_3007G223100;SORBI_3008G091400;SORBI_3008G123600;SORBI_3009G259200;SORBI_3010G007500","4.4135e-02;6.3153e-01;3.7400e-03;5.7073e-01;4.7169e-01;1.1046e-01;1.7173e-01;4.9882e-01;4.8519e-01;7.8418e-01",0.5922
"ARGSPECAT-PWY","spermine biosynthesis",7,"SORBI_3002G206700;SORBI_3004G016000;SORBI_3004G113100;SORBI_3004G211900;SORBI_3006G135600;SORBI_3008G125801;SORBI_3010G153900","5.9716e-02;6.8039e-01;2.6383e-01;6.4932e-01;8.3899e-01;9.0180e-01;5.1013e-01",0.59233
"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)",2,"SORBI_3003G321900;SORBI_3003G324100","7.6915e-01;7.6567e-01",0.59255
"PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)",2,"SORBI_3003G321900;SORBI_3003G324100","7.6915e-01;7.6567e-01",0.59255
"PWY-2681","<i>trans</i>-zeatin biosynthesis",21,"SORBI_3001G004500;SORBI_3001G042901;SORBI_3001G127700;SORBI_3001G217700;SORBI_3001G374200;SORBI_3002G076700;SORBI_3002G102900;SORBI_3002G197000;SORBI_3002G286400;SORBI_3003G162200;SORBI_3003G202200;SORBI_3003G261700;SORBI_3003G273700;SORBI_3004G221100;SORBI_3004G352000;SORBI_3006G059900;SORBI_3006G149300;SORBI_3007G133600;SORBI_3009G214600;SORBI_3009G223100;SORBI_3009G254900","6.5042e-01;5.0811e-03;7.7710e-01;6.1072e-01;5.2678e-01;5.5344e-03;5.8553e-01;3.7741e-01;1.6863e-01;8.1026e-01;7.7306e-01;8.2618e-01;4.2495e-01;9.8017e-01;8.4719e-01;4.0323e-01;6.0648e-03;6.3605e-02;2.5934e-03;2.2340e-07;1.4460e-06",0.5931
"LEU-DEG2-PWY","L-leucine degradation I",12,"SORBI_3001G305600;SORBI_3001G365200;SORBI_3001G447500;SORBI_3001G540100;SORBI_3003G126500;SORBI_3004G297400;SORBI_3004G297500;SORBI_3005G026100;SORBI_3006G176600;SORBI_3007G130600;SORBI_3008G160700;SORBI_3009G027000","1.8737e-01;7.4463e-01;3.1657e-01;7.5473e-01;3.6045e-01;6.7656e-01;4.5956e-01;9.4729e-01;9.7947e-01;9.2693e-01;5.6110e-01;6.7503e-01",0.59525
"ETHYL-PWY","ethylene biosynthesis I (plants)",19,"SORBI_3001G105900;SORBI_3002G221900;SORBI_3003G033900;SORBI_3003G140000;SORBI_3003G151600;SORBI_3003G197200;SORBI_3003G292800;SORBI_3003G343900;SORBI_3004G313100;SORBI_3005G067300;SORBI_3005G067500;SORBI_3006G187900;SORBI_3009G033600;SORBI_3009G044400;SORBI_3009G044600;SORBI_3010G020800;SORBI_3010G029700;SORBI_3010G174000;SORBI_3010G239900","8.1805e-01;4.2372e-01;5.6039e-01;4.1804e-01;2.3436e-02;5.9271e-01;8.7070e-02;9.4630e-01;5.3630e-01;8.1578e-02;4.1130e-01;4.0069e-01;1.3580e-02;6.0183e-01;7.0033e-01;5.3588e-01;1.4826e-01;8.2916e-01;7.0307e-01",0.5998
"LEUSYN-PWY","L-leucine biosynthesis",10,"SORBI_3001G305600;SORBI_3001G365200;SORBI_3001G447500;SORBI_3001G540100;SORBI_3004G023900;SORBI_3004G296800;SORBI_3005G030100;SORBI_3006G176600;SORBI_3006G275800;SORBI_3008G012400","1.8737e-01;7.4463e-01;3.1657e-01;7.5473e-01;7.4385e-01;4.6593e-01;5.4195e-01;9.7947e-01;5.3463e-01;7.4279e-01",0.6034
"PWY-5070","gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",6,"SORBI_3001G005300;SORBI_3001G166401;SORBI_3002G046500;SORBI_3002G073800;SORBI_3003G287100;SORBI_3006G203900","3.7124e-01;3.4811e-01;7.0393e-01;3.9913e-01;8.9985e-03;3.3895e-01",0.60379
"PWY-6964","ammonia assimilation cycle II",6,"SORBI_3001G116400;SORBI_3001G231000;SORBI_3001G451500;SORBI_3002G402700;SORBI_3004G247000;SORBI_3006G249400","7.1323e-01;3.2063e-01;8.2383e-01;6.0909e-01;8.1662e-02;6.2022e-02",0.61166
"PWY-4821","UDP-&alpha;-D-xylose biosynthesis",11,"SORBI_3001G084100;SORBI_3001G171300;SORBI_3001G376501;SORBI_3001G414650;SORBI_3001G418100;SORBI_3001G459800;SORBI_3003G149500;SORBI_3003G348800;SORBI_3003G442300;SORBI_3007G218200;SORBI_3009G112600","5.5147e-01;7.5130e-01;3.4109e-02;5.7251e-01;4.0841e-01;7.6947e-01;1.1556e-02;6.9396e-01;5.6545e-01;5.3625e-01;8.7316e-01",0.61221
"PWY-4661","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)",10,"SORBI_3001G098000;SORBI_3001G106900;SORBI_3001G261416;SORBI_3001G278700;SORBI_3001G286100;SORBI_3001G447200;SORBI_3001G472800;SORBI_3002G266300;SORBI_3004G141100;SORBI_3006G251500","5.5592e-01;2.4048e-02;6.9657e-01;1.1437e-02;2.2628e-01;8.3501e-01;5.9447e-01;9.0275e-01;1.4417e-01;1.7848e-02",0.61774
"ALACAT2-PWY","L-alanine degradation II (to D-lactate)",7,"SORBI_3001G059100;SORBI_3001G260701;SORBI_3001G260800;SORBI_3002G006600;SORBI_3002G211300;SORBI_3002G375800;SORBI_3006G165400","7.9672e-01;4.2796e-01;3.6615e-01;6.5857e-01;8.6420e-01;4.8865e-01;7.7714e-01",0.61888
"PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",5,"SORBI_3002G296500;SORBI_3002G376200;SORBI_3003G146800;SORBI_3006G254100;SORBI_3007G172600","2.4842e-01;5.4133e-01;5.3549e-03;6.8999e-01;4.4159e-03",0.61945
"PWYDQC-4","indole-3-acetate biosynthesis I",15,"SORBI_3001G495850;SORBI_3002G120300;SORBI_3002G120400;SORBI_3003G012400;SORBI_3003G045600;SORBI_3003G128700;SORBI_3003G236900;SORBI_3003G286500;SORBI_3005G104600;SORBI_3005G104700;SORBI_3006G012200;SORBI_3007G163200;SORBI_3008G064100;SORBI_3008G110700;SORBI_3008G154300","2.8009e-01;2.5145e-01;5.4005e-01;5.2876e-01;4.6008e-02;7.4630e-01;8.1851e-01;5.0979e-02;1.5964e-01;1.2892e-02;7.3214e-01;5.3420e-01;8.9371e-01;2.1965e-01;5.6183e-01",0.6223
"PWY-66","GDP-L-fucose biosynthesis I (from GDP-D-mannose)",5,"SORBI_3003G210300;SORBI_3010G028100;SORBI_3010G028200;SORBI_3010G212100;SORBI_3010G212200","4.8763e-01;1.9605e-01;2.3834e-01;8.9141e-01;3.4643e-03",0.62369
"PWY-5027","phylloquinol biosynthesis",4,"SORBI_3001G475600;SORBI_3004G041900;SORBI_3006G140900;SORBI_3010G083500","6.9987e-01;1.8734e-01;8.5579e-01;9.1716e-01",0.62474
"PWY-5034","GA<sub>12</sub> biosynthesis",4,"SORBI_3001G423633;SORBI_3001G423666;SORBI_3010G007700;SORBI_3010G172700","4.1217e-01;4.1217e-01;3.6484e-01;7.7414e-01",0.62523
"PWY-6475","<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)",11,"SORBI_3001G018000;SORBI_3001G088700;SORBI_3002G072400;SORBI_3002G292600;SORBI_3002G383400;SORBI_3005G160500;SORBI_3006G177400;SORBI_3006G232600;SORBI_3008G096800;SORBI_3008G180800;SORBI_3010G276400","9.2751e-03;7.4884e-01;3.5859e-01;1.7930e-01;3.8113e-02;5.0702e-02;9.2907e-01;3.2591e-01;6.6834e-01;7.2267e-01;1.9604e-02",0.63016
"PWY-7224","purine deoxyribonucleosides salvage",9,"SORBI_3001G295200;SORBI_3002G095300;SORBI_3002G306900;SORBI_3003G372900;SORBI_3004G184500;SORBI_3008G091400;SORBI_3008G123600;SORBI_3009G148200;SORBI_3009G259200","4.4135e-02;3.3895e-01;6.3153e-01;1.9727e-01;3.7400e-03;1.7173e-01;4.9882e-01;4.7703e-01;4.8519e-01",0.63563
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",33,"SORBI_3001G071800;SORBI_3001G236800;SORBI_3001G425400;SORBI_3002G230600;SORBI_3003G096000;SORBI_3003G367500;SORBI_3003G393900;SORBI_3003G403300;SORBI_3004G055200;SORBI_3004G056400;SORBI_3004G068400;SORBI_3004G146000;SORBI_3004G151800;SORBI_3004G205100;SORBI_3005G056400;SORBI_3005G089600;SORBI_3005G159000;SORBI_3007G025400;SORBI_3008G053200;SORBI_3009G016700;SORBI_3009G040900;SORBI_3009G041000;SORBI_3009G152700;SORBI_3009G183700;SORBI_3009G233200;SORBI_3010G100200;SORBI_3010G188300;SORBI_3010G205100;SORBI_3010G219700;SORBI_3010G221800;SORBI_3010G262433;SORBI_3010G262466;SORBI_3010G262500","4.3261e-01;9.1355e-03;5.7391e-01;2.9396e-01;6.6015e-01;6.7474e-02;5.9231e-01;4.5121e-01;6.0467e-01;5.9927e-01;9.3296e-01;4.0051e-01;7.6229e-01;3.3817e-01;9.0843e-01;8.9706e-01;6.3636e-01;8.3006e-01;1.8855e-01;7.8576e-01;8.3509e-01;7.0581e-01;3.0356e-01;6.1363e-02;2.0080e-10;6.5632e-01;5.3703e-01;7.7194e-01;6.4916e-01;6.8791e-01;9.5645e-01;9.6941e-01;7.9998e-01",0.63578
"PWY-6949","DIBOA-glucoside biosynthesis",39,"SORBI_3001G030500;SORBI_3001G030600;SORBI_3001G030900;SORBI_3001G056400;SORBI_3001G056500;SORBI_3001G056601;SORBI_3001G349900;SORBI_3001G369500;SORBI_3002G054700;SORBI_3002G085100;SORBI_3002G085200;SORBI_3002G085300;SORBI_3002G085700;SORBI_3002G085800;SORBI_3002G088000;SORBI_3003G089600;SORBI_3004G108800;SORBI_3005G127000;SORBI_3005G206100;SORBI_3006G022900;SORBI_3006G043800;SORBI_3006G044100;SORBI_3006G136500;SORBI_3007G003250;SORBI_3007G003300;SORBI_3007G003400;SORBI_3007G003500;SORBI_3007G003600;SORBI_3007G003700;SORBI_3007G003900;SORBI_3007G032000;SORBI_3007G034900;SORBI_3007G092900;SORBI_3007G093000;SORBI_3007G133766;SORBI_3009G230400;SORBI_3010G198000;SORBI_3010G230900;SORBI_3010G249800","4.2310e-02;4.5863e-02;6.7850e-01;6.4745e-01;4.6135e-01;1.8731e-01;8.0773e-01;9.4624e-01;8.8405e-01;9.3008e-01;3.7337e-01;2.1340e-01;6.4818e-01;4.4978e-02;3.5901e-01;5.6831e-01;6.7463e-01;8.8280e-02;5.3826e-01;2.3017e-01;9.5142e-05;5.9149e-05;6.9214e-01;4.4149e-01;4.3355e-01;4.5048e-01;3.2209e-01;4.2189e-04;6.4062e-01;6.2708e-02;6.1802e-01;9.1943e-01;6.2428e-01;4.8757e-01;1.3012e-01;3.1737e-12;9.3467e-01;4.3189e-01;3.1927e-01",0.63659
"PWY-8027","parkeol biosynthesis",2,"SORBI_3005G092500;SORBI_3005G109400","6.7083e-01;2.2360e-01",0.63774
"PWY-6786","detoxification of reactive carbonyls in chloroplasts",12,"SORBI_3001G231400;SORBI_3001G231600;SORBI_3001G231700;SORBI_3001G338000;SORBI_3002G046700;SORBI_3002G171600;SORBI_3003G298200;SORBI_3004G328601;SORBI_3006G221850;SORBI_3007G116700;SORBI_3009G037100;SORBI_3009G161000","8.2245e-01;4.8238e-01;3.6810e-01;5.9777e-01;7.5441e-01;9.7385e-01;5.4945e-01;9.5566e-01;5.8061e-01;9.8395e-01;5.5282e-01;1.2263e-01",0.64287
"PWY-361","phenylpropanoid biosynthesis",58,"SORBI_3001G187000;SORBI_3001G196300;SORBI_3001G251300;SORBI_3001G310166;SORBI_3001G465600;SORBI_3001G500100;SORBI_3001G500800;SORBI_3001G518800;SORBI_3002G009600;SORBI_3002G009700;SORBI_3002G029500;SORBI_3002G175600;SORBI_3002G205100;SORBI_3002G205300;SORBI_3002G242300;SORBI_3002G250100;SORBI_3002G250300;SORBI_3003G068300;SORBI_3003G068600;SORBI_3003G068800;SORBI_3003G068900;SORBI_3003G068950;SORBI_3003G069000;SORBI_3003G069200;SORBI_3003G082800;SORBI_3003G327800;SORBI_3003G360000;SORBI_3004G062500;SORBI_3004G071000;SORBI_3004G103901;SORBI_3004G212300;SORBI_3004G272700;SORBI_3004G297800;SORBI_3004G328700;SORBI_3005G088400;SORBI_3006G136800;SORBI_3006G136900;SORBI_3007G012700;SORBI_3007G043200;SORBI_3007G089900;SORBI_3007G141200;SORBI_3007G142200;SORBI_3007G145600;SORBI_3007G165800;SORBI_3007G217200;SORBI_3007G218700;SORBI_3007G218800;SORBI_3009G157100;SORBI_3009G181800;SORBI_3010G001300;SORBI_3010G001400;SORBI_3010G034800;SORBI_3010G052200;SORBI_3010G066000;SORBI_3010G066601;SORBI_3010G066700;SORBI_3010G195500;SORBI_3010G214900","6.0571e-01;8.0211e-01;9.7710e-01;6.1971e-01;7.4805e-01;7.6114e-02;1.0609e-03;1.0567e-01;4.7189e-01;3.5019e-01;4.0581e-01;5.6075e-01;7.6209e-01;8.1666e-01;5.3813e-01;7.3020e-01;7.7368e-01;1.5373e-01;1.1294e-01;2.6232e-01;3.8990e-01;7.6438e-01;8.1284e-01;7.3839e-01;4.5645e-01;7.7443e-01;2.9433e-01;6.0584e-01;5.2656e-01;1.2097e-01;3.9202e-01;3.8108e-01;2.9380e-01;9.4701e-01;6.0222e-01;6.1366e-01;6.0954e-01;6.4254e-01;5.5719e-01;8.3036e-03;8.0990e-01;9.3156e-01;6.3622e-01;4.0597e-01;6.8737e-01;3.8268e-01;3.4461e-01;1.2413e-01;2.0197e-01;2.8792e-01;3.5362e-01;6.3061e-01;2.8634e-01;8.4152e-01;8.9632e-01;4.7671e-01;3.5830e-01;5.0362e-01",0.64334
"GLUTAMATE-DEG1-PWY","L-glutamate degradation I",2,"SORBI_3001G059100;SORBI_3006G165400","7.9672e-01;7.7714e-01",0.64624
"PWY-5269","cardiolipin biosynthesis II",3,"SORBI_3001G412100;SORBI_3003G321900;SORBI_3003G324100","5.2137e-01;7.6915e-01;7.6567e-01",0.65422
"PWY-6556","pyrimidine ribonucleosides salvage II",4,"SORBI_3001G261480;SORBI_3003G275300;SORBI_3007G169700;SORBI_3008G098400","5.0522e-01;8.1002e-01;5.4746e-01;7.0241e-01",0.65529
"PWY-6540","costunolide biosynthesis",5,"SORBI_3005G211400;SORBI_3006G121800;SORBI_3009G064400;SORBI_3009G172800;SORBI_3009G196700","8.7467e-01;7.5950e-01;9.1180e-02;3.8007e-04;7.9209e-03",0.65693
"PWY-6546","brassinosteroids inactivation",23,"SORBI_3001G359100;SORBI_3001G359200;SORBI_3001G359300;SORBI_3001G359400;SORBI_3001G359500;SORBI_3002G388800;SORBI_3002G388900;SORBI_3002G389000;SORBI_3002G398600;SORBI_3003G048200;SORBI_3003G156200;SORBI_3004G046200;SORBI_3004G086400;SORBI_3005G166700;SORBI_3005G217600;SORBI_3006G232300;SORBI_3009G133100;SORBI_3010G069300;SORBI_3010G069700;SORBI_3010G069800;SORBI_3010G069900;SORBI_3010G070000;SORBI_3010G182966","6.5300e-02;5.3029e-01;4.2998e-01;5.1282e-01;6.1463e-01;7.6520e-02;8.8217e-02;5.6776e-02;1.3095e-01;3.0144e-01;2.2250e-01;2.7344e-01;5.2891e-01;1.5822e-02;6.4316e-01;3.9943e-01;5.1062e-01;7.2448e-01;9.0051e-01;6.6885e-01;6.8882e-01;7.0157e-01;4.6258e-01",0.65832
"PWY-7252","luteolinidin 5-<i>O</i>-glucoside biosynthesis",31,"SORBI_3001G377200;SORBI_3002G079801;SORBI_3002G130200;SORBI_3002G311300;SORBI_3002G311400;SORBI_3002G311501;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G337400;SORBI_3003G287600;SORBI_3003G287700;SORBI_3003G287800;SORBI_3003G288000;SORBI_3003G288100;SORBI_3003G293700;SORBI_3006G124100;SORBI_3007G027301;SORBI_3007G100700;SORBI_3008G149000;SORBI_3009G205600;SORBI_3009G205700;SORBI_3009G205800;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G206300;SORBI_3009G206400;SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048500;SORBI_3010G048600;SORBI_3010G245701","4.5471e-02;2.1289e-01;3.9384e-01;8.7249e-01;7.0942e-01;3.6072e-01;2.7751e-01;7.6915e-01;8.9648e-01;3.3517e-01;7.0730e-01;5.8427e-01;1.6765e-01;1.5428e-01;2.8121e-01;4.5611e-01;5.3981e-01;2.6860e-01;6.3523e-01;5.0700e-03;5.6955e-03;9.6431e-04;1.5569e-03;1.0942e-03;1.4658e-03;1.3728e-04;6.8234e-02;7.7278e-02;5.2849e-01;3.3171e-01;5.5589e-01",0.66461
"PWY-7253","apigeninidin 5-<i>O</i>-glucoside biosynthesis",31,"SORBI_3001G377200;SORBI_3002G079801;SORBI_3002G130200;SORBI_3002G311300;SORBI_3002G311400;SORBI_3002G311501;SORBI_3002G311700;SORBI_3002G312000;SORBI_3002G337400;SORBI_3003G287600;SORBI_3003G287700;SORBI_3003G287800;SORBI_3003G288000;SORBI_3003G288100;SORBI_3003G293700;SORBI_3006G124100;SORBI_3007G027301;SORBI_3007G100700;SORBI_3008G149000;SORBI_3009G205600;SORBI_3009G205700;SORBI_3009G205800;SORBI_3009G205900;SORBI_3009G206000;SORBI_3009G206300;SORBI_3009G206400;SORBI_3010G022700;SORBI_3010G022850;SORBI_3010G048500;SORBI_3010G048600;SORBI_3010G245701","4.5471e-02;2.1289e-01;3.9384e-01;8.7249e-01;7.0942e-01;3.6072e-01;2.7751e-01;7.6915e-01;8.9648e-01;3.3517e-01;7.0730e-01;5.8427e-01;1.6765e-01;1.5428e-01;2.8121e-01;4.5611e-01;5.3981e-01;2.6860e-01;6.3523e-01;5.0700e-03;5.6955e-03;9.6431e-04;1.5569e-03;1.0942e-03;1.4658e-03;1.3728e-04;6.8234e-02;7.7278e-02;5.2849e-01;3.3171e-01;5.5589e-01",0.66461
"PWY-101","photosynthesis light reactions",32,"SORBI_3001G070500;SORBI_3001G276500;SORBI_3001G299900;SORBI_3001G314200;SORBI_3002G004000;SORBI_3002G159100;SORBI_3002G297300;SORBI_3002G414400;SORBI_3003G055300;SORBI_3003G070900;SORBI_3003G168700;SORBI_3003G169100;SORBI_3003G171900;SORBI_3003G172200;SORBI_3003G172300;SORBI_3003G221700;SORBI_3003G313000;SORBI_3003G328200;SORBI_3003G395800;SORBI_3005G116400;SORBI_3006G073500;SORBI_3006G151100;SORBI_3007G145901;SORBI_3007G207800;SORBI_3008G065000;SORBI_3008G102466;SORBI_3008G120266;SORBI_3008G131700;SORBI_3009G143100;SORBI_3009G174150;SORBI_3009G191300;SORBI_3010G139200","6.5711e-01;7.1319e-01;7.5545e-01;4.8612e-01;8.0665e-02;9.7224e-02;2.7604e-01;6.1431e-01;3.2569e-01;6.7371e-01;2.7183e-01;5.0984e-01;8.5966e-01;6.4528e-01;4.8706e-01;9.6711e-01;2.0986e-01;2.8908e-01;6.0433e-01;4.6632e-01;6.8337e-04;3.6947e-02;3.7011e-01;9.5100e-01;3.4628e-01;1.5119e-01;6.6154e-01;6.3985e-01;2.8349e-02;1.3690e-01;2.6872e-02;4.6326e-01",0.66477
"DTDPRHAMSYN-PWY","dTDP-L-rhamnose biosynthesis",3,"SORBI_3004G282700;SORBI_3004G352700;SORBI_3008G066100","3.8047e-01;9.4144e-01;9.9173e-02",0.66552
"PWY-7060","ornithine-citrulline shuttle",10,"SORBI_3001G116400;SORBI_3001G231000;SORBI_3001G451500;SORBI_3003G012300;SORBI_3003G193700;SORBI_3004G247000;SORBI_3004G265900;SORBI_3004G268100;SORBI_3006G249400;SORBI_3007G104300","7.1323e-01;3.2063e-01;8.2383e-01;5.8128e-01;4.3081e-02;8.1662e-02;5.4553e-01;7.6394e-02;6.2022e-02;7.9050e-01",0.66559
"GLUTATHIONESYN-PWY","glutathione biosynthesis",4,"SORBI_3004G270350;SORBI_3005G199400;SORBI_3008G113600;SORBI_3009G029600","2.0809e-02;1.2579e-01;3.3958e-01;6.4077e-01",0.66606
"PWY-3101","flavonol biosynthesis",33,"SORBI_3001G254800;SORBI_3001G336200;SORBI_3001G364200;SORBI_3001G369300;SORBI_3001G407800;SORBI_3002G040400;SORBI_3002G040500;SORBI_3002G216100;SORBI_3002G216200;SORBI_3002G216400;SORBI_3002G216500;SORBI_3002G272700;SORBI_3002G367600;SORBI_3003G021700;SORBI_3003G138200;SORBI_3004G200800;SORBI_3004G200833;SORBI_3004G200900;SORBI_3004G201100;SORBI_3004G260000;SORBI_3004G310100;SORBI_3005G115800;SORBI_3005G214900;SORBI_3006G223001;SORBI_3006G237300;SORBI_3007G044900;SORBI_3007G179750;SORBI_3008G136500;SORBI_3009G162500;SORBI_3010G050200;SORBI_3010G059800;SORBI_3010G060100;SORBI_3010G060166","9.0137e-01;7.8571e-01;4.5831e-01;8.2776e-01;7.3889e-01;8.0008e-02;5.3064e-01;2.8563e-01;8.8431e-01;8.6643e-01;4.7554e-01;1.6634e-01;1.5059e-01;5.5493e-01;1.1880e-02;4.0187e-01;3.3458e-01;3.5234e-01;5.3384e-01;2.7318e-02;8.1689e-01;5.5498e-01;5.6414e-01;2.1450e-01;1.9173e-01;4.5246e-01;4.0605e-02;8.0523e-02;5.9019e-02;7.9123e-02;4.5162e-01;4.2528e-01;4.0922e-01",0.66665
"PWY4LZ-81","Organic Nitrogen Assimilation",20,"SORBI_3001G026900;SORBI_3001G116400;SORBI_3001G156100;SORBI_3001G231000;SORBI_3001G325200;SORBI_3001G451500;SORBI_3002G090200;SORBI_3002G090300;SORBI_3002G402700;SORBI_3003G258800;SORBI_3004G209300;SORBI_3004G247000;SORBI_3004G268100;SORBI_3004G351000;SORBI_3005G150250;SORBI_3006G249400;SORBI_3006G270100;SORBI_3007G174600;SORBI_3009G225700;SORBI_3010G060800","5.0095e-03;7.1323e-01;6.0344e-01;3.2063e-01;8.3426e-01;8.2383e-01;9.8756e-02;1.8713e-01;6.0909e-01;3.2362e-01;1.4783e-04;8.1662e-02;7.6394e-02;7.9793e-01;7.8438e-01;6.2022e-02;7.5082e-01;5.6084e-03;1.0360e-12;5.6298e-01",0.6669
"PWY-43","putrescine biosynthesis II",4,"SORBI_3001G013900;SORBI_3004G166500;SORBI_3006G111700;SORBI_3010G021800","9.5029e-01;6.9939e-01;3.9621e-01;2.2340e-01",0.66759
"PWY-6275","&beta;-caryophyllene biosynthesis",16,"SORBI_3001G173000;SORBI_3001G363400;SORBI_3001G369200;SORBI_3001G373300;SORBI_3003G368600;SORBI_3004G153900;SORBI_3005G130100;SORBI_3005G130400;SORBI_3005G130450;SORBI_3006G010100;SORBI_3006G247500;SORBI_3007G034700;SORBI_3007G035800;SORBI_3007G064800;SORBI_3007G133900;SORBI_3007G187100","2.7581e-01;5.7158e-01;2.7196e-02;6.2703e-01;5.5152e-01;2.3455e-01;7.4429e-01;7.4936e-01;5.0482e-01;2.6605e-01;3.7677e-01;5.1467e-01;5.9954e-01;2.0311e-01;4.7942e-01;8.4250e-02",0.66773
"PWY-4841","UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)",3,"SORBI_3008G000400;SORBI_3010G168800;SORBI_3010G251200","6.7759e-01;9.5365e-01;1.4848e-02",0.67083
