pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
50,0,minp,mvn_imputed_cor,1.040194316,0.132958416,0.066,0.011103513,0.004,0.002822765
50,0,stouffer,analytic_fallback,0.779752249,0.331769005,0.298,0.020454633,0.2,0.017888544
50,0,stouffer,mvn_true_cor,0.956426732,0.102178852,0.066,0.011103513,0.006,0.003453694
50,0,stouffer,mvn_imputed_cor,0.956426732,0.095644523,0.066,0.011103513,0.006,0.003453694
50,0,omnibus,analytic_fallback,0.204591253,0.099341404,0.242,0.019153903,0.182,0.017255492
50,0,omnibus,mvn_true_cor,1.035405157,0.150272776,0.062,0.010784804,0.008,0.003983968
50,0,omnibus,mvn_imputed_cor,1.035405157,0.143717583,0.062,0.010784804,0.008,0.003983968
50,0.1,acat,analytic_fallback,0.991385585,0.162766415,0.068,0.011258419,0.008,0.003983968
50,0.1,acat,mvn_true_cor,0.960947639,0.122388809,0.048,0.009559916,0.006,0.003453694
50,0.1,acat,mvn_imputed_cor,0.981499803,0.10058416,0.044,0.009172132,0.006,0.003453694
50,0.1,fisher,analytic_fallback,0.568930241,0.235855541,0.248,0.019313001,0.174,0.016954291
50,0.1,fisher,mvn_true_cor,1.086531719,0.122994776,0.058,0.010453325,0.006,0.003453694
50,0.1,fisher,mvn_imputed_cor,1.037816004,0.132493847,0.068,0.011258419,0.006,0.003453694
50,0.1,tfisher,analytic_fallback,0.08696187,0.014769722,0.136,0.015329971,0.108,0.013880634
50,0.1,tfisher,mvn_true_cor,1.084045824,0.135930726,0.06,0.010620734,0,0
50,0.1,tfisher,mvn_imputed_cor,0.965483881,0.131835165,0.054,0.010107819,0,0
50,0.1,minp,analytic_fallback,0.183525222,0.038996503,0.042,0.008970619,0.006,0.003453694
50,0.1,minp,mvn_true_cor,0.988397018,0.088490955,0.05,0.009746794,0.006,0.003453694
50,0.1,minp,mvn_imputed_cor,0.916419972,0.089400149,0.05,0.009746794,0.004,0.002822765
50,0.1,stouffer,analytic_fallback,1.227391626,0.335860699,0.308,0.020646356,0.222,0.018585801
50,0.1,stouffer,mvn_true_cor,1.084037398,0.090270249,0.054,0.010107819,0.006,0.003453694
50,0.1,stouffer,mvn_imputed_cor,1.054659817,0.095973093,0.068,0.011258419,0.012,0.004869497
50,0.1,omnibus,analytic_fallback,0.263649702,0.092310138,0.254,0.0194671,0.196,0.017752972
50,0.1,omnibus,mvn_true_cor,1.049821586,0.123209263,0.068,0.011258419,0.006,0.003453694
50,0.1,omnibus,mvn_imputed_cor,1.054659817,0.11233792,0.074,0.01170675,0.006,0.003453694
50,0.3,acat,analytic_fallback,0.795820007,0.152622135,0.076,0.011851076,0.012,0.004869497
50,0.3,acat,mvn_true_cor,0.854475691,0.09523265,0.058,0.010453325,0.008,0.003983968
50,0.3,acat,mvn_imputed_cor,0.844104589,0.087158715,0.064,0.010945684,0.012,0.004869497
50,0.3,fisher,analytic_fallback,0.236086116,0.103922377,0.218,0.018464886,0.15,0.015968719
50,0.3,fisher,mvn_true_cor,0.854475691,0.084887015,0.048,0.009559916,0.016,0.005611417
50,0.3,fisher,mvn_imputed_cor,0.700400202,0.102609856,0.066,0.011103513,0.03,0.007628892
50,0.3,tfisher,analytic_fallback,0.066712599,0.009693606,0.128,0.01494095,0.108,0.013880634
50,0.3,tfisher,mvn_true_cor,0.871261695,0.09968251,0.05,0.009746794,0,0
50,0.3,tfisher,mvn_imputed_cor,0.557963303,0.069849441,0.064,0.010945684,0.024,0.00684456
50,0.3,minp,analytic_fallback,0.135952372,0.03844223,0.052,0.00992935,0.006,0.003453694
50,0.3,minp,mvn_true_cor,0.88186718,0.104564947,0.068,0.011258419,0.006,0.003453694
50,0.3,minp,mvn_imputed_cor,0.533129315,0.080745405,0.056,0.010282412,0.006,0.003453694
50,0.3,stouffer,analytic_fallback,0.839094688,0.359974309,0.276,0.019991198,0.204,0.018021321
50,0.3,stouffer,mvn_true_cor,0.96321576,0.11882555,0.05,0.009746794,0.016,0.005611417
50,0.3,stouffer,mvn_imputed_cor,0.896914579,0.122702434,0.072,0.011559931,0.028,0.007377805
50,0.3,omnibus,analytic_fallback,0.145906603,0.039182707,0.246,0.01926053,0.176,0.017030796
50,0.3,omnibus,mvn_true_cor,0.869156345,0.083341329,0.052,0.00992935,0.016,0.005611417
50,0.3,omnibus,mvn_imputed_cor,0.785633961,0.078542488,0.07,0.011410521,0.026,0.007116741
50,0.5,acat,analytic_fallback,1.004731702,0.194463034,0.07,0.011410521,0.016,0.005611417
50,0.5,acat,mvn_true_cor,0.970035512,0.141879571,0.048,0.009559916,0.012,0.004869497
50,0.5,acat,mvn_imputed_cor,1.054659817,0.128542959,0.062,0.010784804,0.016,0.005611417
50,0.5,fisher,analytic_fallback,0.556012354,0.191509524,0.242,0.019153903,0.162,0.016477621
50,0.5,fisher,mvn_true_cor,1.054659817,0.100964715,0.036,0.008331146,0.01,0.004449719
50,0.5,fisher,mvn_imputed_cor,0.894714966,0.112274171,0.11,0.013992855,0.032,0.007870959
50,0.5,tfisher,analytic_fallback,0.073037244,0.014224657,0.146,0.01579139,0.11,0.013992855
50,0.5,tfisher,mvn_true_cor,0.93876671,0.140343554,0.056,0.010282412,0,0
50,0.5,tfisher,mvn_imputed_cor,0.539271774,0.102017968,0.076,0.011851076,0.046,0.009368458
50,0.5,minp,analytic_fallback,0.16434002,0.045196963,0.038,0.008550556,0.008,0.003983968
50,0.5,minp,mvn_true_cor,0.947430713,0.09621233,0.054,0.010107819,0.008,0.003983968
50,0.5,minp,mvn_imputed_cor,0.517963682,0.083432305,0.048,0.009559916,0.01,0.004449719
50,0.5,stouffer,analytic_fallback,1.125151495,0.381049111,0.298,0.020454633,0.214,0.018341429
50,0.5,stouffer,mvn_true_cor,1.074211587,0.088727111,0.042,0.008970619,0.008,0.003983968
50,0.5,stouffer,mvn_imputed_cor,1.124153616,0.114036106,0.11,0.013992855,0.032,0.007870959
50,0.5,omnibus,analytic_fallback,0.255319691,0.124756838,0.262,0.019664994,0.192,0.017614539
50,0.5,omnibus,mvn_true_cor,1.030705042,0.166934199,0.052,0.00992935,0.008,0.003983968
50,0.5,omnibus,mvn_imputed_cor,0.839999515,0.152673868,0.12,0.014532722,0.044,0.009172132
50,0.7,acat,analytic_fallback,0.962910982,0.136560041,0.068,0.011258419,0.01,0.004449719
50,0.7,acat,mvn_true_cor,0.947430713,0.120162437,0.04,0.008763561,0.01,0.004449719
50,0.7,acat,mvn_imputed_cor,0.929620373,0.101401337,0.068,0.011258419,0.01,0.004449719
50,0.7,fisher,analytic_fallback,0.563006098,0.174230781,0.258,0.019567115,0.196,0.017752972
50,0.7,fisher,mvn_true_cor,1.074178136,0.123043365,0.04,0.008763561,0.006,0.003453694
50,0.7,fisher,mvn_imputed_cor,0.894714966,0.132747908,0.13,0.015039947,0.058,0.010453325
50,0.7,tfisher,analytic_fallback,0.082096509,0.011890251,0.128,0.01494095,0.102,0.013534844
50,0.7,tfisher,mvn_true_cor,1.037799737,0.117846871,0.034,0.008104813,0,0
50,0.7,tfisher,mvn_imputed_cor,0.373169437,0.069880826,0.076,0.011851076,0.026,0.007116741
50,0.7,minp,analytic_fallback,0.220267122,0.045836046,0.038,0.008550556,0.01,0.004449719
50,0.7,minp,mvn_true_cor,1.057087171,0.088191901,0.054,0.010107819,0.01,0.004449719
50,0.7,minp,mvn_imputed_cor,0.454392669,0.067473745,0.048,0.009559916,0.01,0.004449719
50,0.7,stouffer,analytic_fallback,0.962061409,0.325778675,0.284,0.020166507,0.242,0.019153903
50,0.7,stouffer,mvn_true_cor,1.011701754,0.092014323,0.042,0.008970619,0.006,0.003453694
50,0.7,stouffer,mvn_imputed_cor,1.009355449,0.175671004,0.164,0.016559227,0.066,0.011103513
50,0.7,omnibus,analytic_fallback,0.258618591,0.119806114,0.284,0.020166507,0.22,0.018525658
50,0.7,omnibus,mvn_true_cor,1.045007951,0.164337141,0.052,0.00992935,0.006,0.003453694
50,0.7,omnibus,mvn_imputed_cor,0.72438989,0.157006762,0.146,0.01579139,0.052,0.00992935
